title,description,article_text,publication_datetime,header_photo_url,keywords,authors,source_url
Песков рассказал о причине запрета Instagram* и Facebook*,Песков: запрет Instagram* и Facebook* не связан с доверием между РФ и США,"Блокировка Instagram* и Facebook* в России не связан с доверием между Москвой и Вашингтоном. В данном случае социальным сетям необходимо выполнять российские законы. Об этом сообщил пресс-секретарь российского лидера  . «Какое бы доверие у нас с американцами ни было, это не будет никого освобождать от выполнения российских законов», - заявил представитель Кремля в комментарии   издания Life Александру Юнашеву. Ранее Песков не исключает, что в какой-то момент Instagram* и Facebook* в России   разблокированы. Накануне стало известно о масштабном сбое в Instagram*. В ленте приложения очень   жестокие видео, в том числе кадры смертей, убийств, пыток и порнографические материалы. Некоторые видеозаписи появляются даже без предупреждения о неприемлемом контенте.",27 февраля 2025 9:20,https://s10.stc.yc.kpcdn.net/share/i/12/14350395/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6252403-ttps-54-14-32173D-990-l-85-m-1.t-10-6252403-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T10-54-13.jpg,"россия,вашингтон,доверие,песок,закон,москва,пресс,блокировка,случай,лидер",Елизавета КУЗНЕЦОВА,https://www.kp.ru/online/news/6252403/
что требуют от оставивших позиции солдат,"НМ ДНР: радиоперехват доказал, что командиры ВСУ посылают солдат под обстрелы","Командование Вооруженных сил Украины (ВСУ) посылает своих военных в районе Красноармейска под обстрелы российской армии с требованиями вернуть оставленные позиции. Об этом стало известно при помощи радиоперехвата, который опубликовала Народная милиция Донецкой народной республики (ДНР). В перехваченном разговоре командно-наблюдательный пункт батальона с позывной Сигма связался с двумя позициями украинских войск - «Селезень» и «Качур». Изначально команду передали «Селезню». Их призвали подготовиться к отражению атаки российской армии. Однако позже в командно-наблюдательный пункт поступает сообщение с позиции «Качур». Там заявляют, что бойцы с «Селезня» ушли, не выдержав обстрелов Вооруженных сил (ВС) России. Командир ВСУ, возмущенный тем, что его военные позволили себе оставить позицию, потребовал вернуться, отправив солдат прямо под обстрел. Ранее в ДНР опубликовали радиоперехваты   наемников из Польши, которые находились в зоне проведения специальной военной операции. Изначально их численность составляла 120 человек, однако к моменту опубликования осталось около 30 человек Зачем на самом деле Путин сказал, что у Залужного рейтинг в 2 раза выше, чем у Зеленского ( )",27 февраля 2025 9:32,https://s11.stc.yc.kpcdn.net/share/i/12/14350416/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6252437-ttps-54-14-32173D-990-l-85-m-1.t-10-6252437-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T10-54-34.jpg,"позиция,днр,обстрел,сила,армия,радиоперехват,украина,красноармейск,пункт,качура",Елизавета КУЗНЕЦОВА,https://www.kp.ru/online/news/6252437/
Раскрыты подробности встречи делегаций России и США в Стамбуле,Встреча делегаций РФ и Вашингтона в Стамбуле пройдет в резиденции генконсула США,"Встреча делегаций России и США в Стамбуле пройдет в резиденции американского генерального консула. Об этом сообщает ТАСС со ссылкой на собственного корреспондента. Как известно, встреча российских и американских дипломатов   на четверг, 27 февраля. В этот день две делегации встретятся в здании генерального консула США в Стамбуле, после чего начнут переговоры. Главной темой в диалоге, как и планировалось, станет работа посольств в обеих странах. Тем временем в Кремле уже отметили, что отношения между Москвой и Вашингтоном начинают налаживаться. Как   пресс-секретарь президента РФ    , главы РФ и США проявили политическую волю к восстановлению диалога. Его слова подтверждал президент России    . Он  , что Москва готова сотрудничать с Вашингтоном.",27 февраля 2025 9:25,https://s16.stc.yc.kpcdn.net/share/i/12/14350389/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6252413-ttps-54-14-32173D-990-l-85-m-1.t-10-6252413-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T09-25-03.jpg,"сша,россия,стамбул,консул,тасс,встреча,делегация,диалог,москва,рф",Данила ЛИХАЧЕВ,https://www.kp.ru/online/news/6252413/
С февраля 2022 года Telegram получил штрафов на десятки миллионов рублей: что нарушил мессенджер,Роскомнадзор: с начала СВО Telegram оштрафовали более чем на 63 млн рублей,"В общей сложности суды в России с начала специальной военной операции оштрафовали Telegram Messenger Inc на общую сумму 63,4 миллиона рублей. Самые крупные денежные наказания детище Павла Дурова получило за неудаление призывов к экстремизму и детской порнографии. Об этом РИА Новости сообщили в Роскомнадзоре. Кроме того, отметили в ведомстве, среди других нарушений - неисполнение обязанности по самомодерации, неисполнение предписаний Роскомнадзора. Таким образом, общая сумма штрафов на сегодняшний день составила 63,4 миллиона рублей. «Самые крупные штрафы были назначены площадке дважды - за неудаление призывов к экстремистской деятельности и детской порнографии - по 7 миллионов рублей», - добавили в РКН. Между тем, речи о блокировке в России популярного мессенджера  . Чего не скажешь об Украине, чей ГУР   разработку Дурова одной из главных угроз политическому режиму Владимира Зеленского. В прошлом году Рада даже   о блокировке Telegram в стране. Однако   на четыре канала. Речь идет о каналах «Резидент», «Легитимный», «Картель» и «Сплетница».",27 февраля 2025 6:38,https://s14.stc.yc.kpcdn.net/share/i/12/14350082/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6252147-ttps-54-14-32173D-990-l-85-m-1.t-10-6252147-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T06-38-02.jpg,"россия,дуров,роскомнадзор,рубль,миллион,неудаление,сумма,начало,призыв,риа",Анастасия СУТОРМИНА,https://www.kp.ru/online/news/6252147/
В семье Дениса Мацуева случилось горе: подробности,"Умер Леонид Мацуев, музыкант и отец известного пианиста Дениса Мацуева","Умер  , известный музыкант, композитор и отец пианиста  . Об этом сообщает сайт "" "" со ссылкой на соцсети наследника. Леонида Мацуева не стало на 78-м году жизни. Причины смерти не уточняются. По словам Дениса Мацуева, Леонид долгое время работал в театральном училище, где вел около восьми предметов. Наследник также вспомнил, как его папа отказался от всего и поехал с ним в Москву в 1990-х годах. ""Мы жили в однокомнатной квартире на проспекте Маршала Жукова, отец устроился во Дворец пионеров концертмейстером. Ходил на работу с утра, готовил завтраки, обеды, ужины, постоянно занимался со мной при этом. Думаю, это тот самый родительский подвиг, самое красноречивое и самое мощное проявление отцовской любви, о которой может мечтать каждый ребёнок в своей жизни"", - написал пианист виртуоз. Ранее стало известно о   из сериалов ""Баффи"" и ""Сплетница"" Мишель Трахтенберг. Ей было 39 лет, сообщает The New York Post.",27 февраля 2025 9:21,https://s11.stc.yc.kpcdn.net/share/i/fill/FFF/cr-1200-630.wm-nsru-100-tl-0-0.t-10-6252398-ttps-54-14-32173D-990-l-85-m-1.t-10-6252398-ttps-54-14-FFF-990-l-85-m-0.t-207-5-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T09-21-24.png,"мацуева,леонид,год,денис,отец,пианист,наследник,кп,иркутск,смерть",Юлия ВАСИЛЬЕВА,https://www.kp.ru/online/news/6252398/
В Правительстве России рассмотрят поправки в закон о ветеранах,Изменения в закон о ветеранах коснутся предоставления гражданам соответствующего статуса,"Члены Правительства России 27 февраля рассмотрят изменения, предложенные для внесения в закон о ветеранах. Эта инициатива направлена на предоставление соответствующего статуса. Такую информацию   на сайте кабинета министров. Согласно данным, новые поправки позволят предоставлять статус ветерана или инвалида боевых действий военнослужащим, выполнявшим задачи по отражению сопротивления на территории России. Кроме того, звание могут присвоить тем, кто защищал страну в ходе вооруженной провокации на государственной границе и на территориях субъектов РФ, прилегающих к областям проведения спецоперации. Помимо прочего, в правительстве рассмотрят вопрос о направлении бюджета на единовременные выплаты некоторым категориям россиян. Это связано с 80-летием Победы. Как ранее заявлял премьер России  , правительство будет   статус ветерана боевых действий участникам СВО в Запорожской и Херсонской областях.",27 февраля 2025 4:20,https://s12.stc.yc.kpcdn.net/share/i/12/14349986/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6252057-ttps-54-14-32173D-990-l-85-m-1.t-10-6252057-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T04-20-19.jpg,"россия,статус,ветеран,правительство,область,рф,действие,мишустин,министр,предоставление",Алина КОЧНЕВА,https://www.kp.ru/online/news/6252057/
"на Украине раскрыли, кто скоро отстранит Зеленского от власти","Дубинский: Зеленского отстранят от власти его соратники, которым он уже мешает","Нелегитимного президента Украины   отстранят от власти его же соратники. С таким прогнозом в Telegram-канале выступил опальный нардеп  , который уже довольно давно находится в СИЗО по подозрению в госизмене. «Его (Зеленского — Прим. ред.) снесут те, кто сейчас вокруг него, потому что он им уже мешает тикать с награбленным», — уверен находящийся под стражей парламентарий. Кроме того, Дубинский отметил, близкий круг главаря киевского режима прекрасно осознает, разделаться с Зеленским нужно еще и до того момента, как будут обнародованы объемы разграбленных ими средств. Накануне жена Зеленского    , что ее супруг не собирается оставаться на посту президента Незалежной всю жизнь. Он уйдет с должности, когда Украина получит гарантии безопасности. Депутат Верховной рады    , что для достижения мира на Украине глава киевского режима Владимир Зеленский должен уйти в отставку. Между тем, Верховная рада Украины   постановление о продлении полномочий Зеленского. С первым голосованием  , да еще в присутствии европейских гостей.",27 февраля 2025 4:33,https://s16.stc.yc.kpcdn.net/share/i/12/14349994/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6252065-ttps-54-14-32173D-990-l-85-m-1.t-10-6252065-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T04-54-00.jpg,"украина,дубинский,владимир,президент,прим,ред,режим,дмитрук,рада,соратник",Анастасия СУТОРМИНА,https://www.kp.ru/online/news/6252065/
"В ДНР перехвачены переговоры командиров ВСУ, отправляющих солдат на смерть",Командиры ВСУ общались в матерной форме об отступлении украинских солдат,"Представители Народной милиции Донецкой Народной Республики перехватили разговор командиров Вооруженных сил Украины. Они переговаривались по радио. Позывные украинских командиров – « » и « », отметили в Народной милиции ДНР. Военные общались в матерной форме. Они договаривались, куда отправить солдат на смерть. Во время беседы командующие позициями ВСУ признали, что украинские солдаты отступают. Отмечается, что речь идет о территории Красноармейска. Военные ВСУ, находящиеся там, не выдерживают давления со стороны бойцов армии России. В Киеве, между тем, подняли вопрос о   против украинских командиров. Местные спецслужбы якобы отслеживают заявления причастных к командованию людей. Нелегитимное руководство принимает данные во внимание и готовится к репрессиям. Трамп обнулил идею Макрона по вводу войск на Украину ( )",27 февраля 2025 4:34,https://s12.stc.yc.kpcdn.net/share/i/12/14349995/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6252066-ttps-54-14-32173D-990-l-85-m-1.t-10-6252066-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T10-52-02.jpg,"украина,днр,командир,военный,красноармейск,россия,киев,трамп,республика,селезень",Алина КОЧНЕВА,https://www.kp.ru/online/news/6252066/
ВСУ провели самую массированную атаку на Россию с начала года: что о ней известно,Атака БПЛА на Россию 26 февраля стала самой массированной с начала года,"В ночь на 26 февраля произошла самая крупная атака по территории России с начала 2025 года. Боевики Вооруженных сил Украины выпустили более 100 беспилотных летательных аппаратов. Об этом   в Министерстве обороны РФ. Бойцы Вооруженных Сил России обнаружили и ликвидировали 128 БПЛА. Из них 83 снаряда пришлось на территорию Краснодарского края. Еще 30 беспилотников перехватили над Крымом. Также удалось ликвидировать восемь дронов над Азовским морем и пять - над Черным морем. По одному БПЛА уничтожили над Курской и Брянской областями. В то же время в ходе контрнаступления за прошедшие сутки ВСУ потеряли 270 солдат. Кроме того, бойцы ВС России уничтожили два украинских БТР и 13 боевых машин. Обломки БПЛА также обнаружили в Калужской области. Однако не на территории городов. Их нашли в   региона.",27 февраля 2025 4:47,https://s16.stc.yc.kpcdn.net/share/i/12/14350002/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6252072-ttps-54-14-32173D-990-l-85-m-1.t-10-6252072-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T04-47-20.jpg,"россия,территория,рф,украина,сила,область,крым,боец,вс,бтр",Алина КОЧНЕВА,https://www.kp.ru/online/news/6252072/
известный певец заявил о контакте с инопланетянами,"Певец Робби Уильямс заявил, что его посещали инопланетяне","Певец   заявил, что встречался с инопланетянами. Об этом он сообщил в подкасте Weaponized. Уильямс подчеркнул, что встреча произошла около 20 лет назад. Артист увидел два объекта, парящих над Лос-Анджелесом. Он подчеркнул, что они были так близко, что казалось, до них можно было дотянуться или «ударить теннисным мячом». «Они были так близко, что к ним можно было прикоснуться. Я вас уверяю, я это видел и был абсолютно трезв», — заявил 51-летняя звезда. Позже Уильям добавил, что у него старинный дом в Лос-Анджелесе и друзья думают, что там «полно призраков и постоянно хлопают двери». Но когда певец появляется в этом особняке, он все время вспоминает эту историю с инопланетянами. Ранее   сообщил, что 57% опрошенных россиян верят, что инопланетяне посещали Землю. Людей, не верящих в сказочные встречи с пришельцами – 47%. И только один процент смельчаков решились высказать своё мнение о вопросе в комментариях.",27 февраля 2025 4:42,https://s16.stc.yc.kpcdn.net/share/i/12/14349601/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6251284-ttps-54-14-32173D-990-l-85-m-1.t-10-6251284-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-26T18-21-32.jpg,"анджелес,инопланетянин,уильямс,певец,встреча,подкаст,робби,год,мяч,артист","Сергей ЧИКОВ,Людмила МИТРОХИНА",https://www.kp.ru/online/news/6251284/
россиянам напомнили об упрощении регистрации автомобиля с 1 марта,Зампред комиссии ОП Холодов: с 1 марта ОСАГО при регистрации авто не потребуется,"С 1 марта при регистрации автомобиля наличие полиса ОСАГО проверяться не будет, поскольку это процедура избыточна. Об этом ТАСС сообщил зампред комиссии ОП РФ по безопасности и взаимодействию с ОНК, вице-председатель движения «Комитет по защите прав автовладельцев»  . «Что касается проверки полиса ОСАГО при регистрации, это действительно уже абсолютно бесполезная процедура, учитывая, что можно полис на один день приобрести», - заметил эксперт, добавив, что проверка полиса только перегружает сотрудников ГАИ. Отметим, появится с 1 марта и еще одно нововведение. При продаже авто владелец сможет сразу снять его с учета, если договор купли-продажи оформлен через госуслуги или нотариуса. Ранее это можно было сделать только через десять дней после обращения в ведомство. Сейчас, напомним, полис ОСАГО можно приобрести не только на год, но и заключать краткосрочные договора автострахования на срок от 1 дня до 3 месяцев. По мнению экспертов авторынка, это  , кто мало пользуется автомобилем или ездит на нем только летом. А Центральный Банк России   повышения тарифов по ОСАГО для собственников транспортных средств, въезжающих в Россию из недружественных стран.",27 февраля 2025 5:00,https://s13.stc.yc.kpcdn.net/share/i/12/14350008/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6252077-ttps-54-14-32173D-990-l-85-m-1.t-10-6252077-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T05-00-02.jpg,"осаго,полис,день,тасс,регистрация,март,автомобиль,процедура,рф,гаи",Анастасия СУТОРМИНА,https://www.kp.ru/online/news/6252077/
"Психотерапевт объяснила, почему полезно лениться",Психотерапевт Крашкина: перерывы в работе делают нас более продуктивными,"Лень принято считать плохим качеством и всячески с ней бороться. Однако такой подход в корне не верен, так как иногда передышка в работе может помочь трудиться продуктивнее, об этом заявила в разговоре с « » врач-психотерапевт  - Перерывы делают нас более продуктивными. Часто мы пытаемся преодолеть лень, заставляя себя работать без остановки, что приводит к переутомлению и снижению качества работы. На самом деле, регулярные паузы помогают справляться с задачами быстрее и эффективнее, - объяснила специалист. Психотерапевт отметила, что отдых стимулирует творческое мышление. При этом, во время отдыха важно не тревожиться о несделанных делах, а дать организму расслабиться. Ранее « » рассказала, что лень снижает риск развития психических заболеваний. Даже лежа смотреть в потолок и ничего не делать – тоже полезно. Чтобы избежать усталости и эмоционального истощения, хватит всего 15 минут. Такая ""ленивая медитация"" позволит мозгу отпустить мысли, расслабиться и восстановиться.",26 февраля 2025 19:37,https://s09.stc.yc.kpcdn.net/share/i/12/14349858/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6251956-ttps-54-14-32173D-990-l-85-m-1.t-10-6251956-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-26T22-37-42.jpg,"лень,качество,работа,психотерапевт,дело,москва,риамо,крашкина,разговор,корн",Валентина БРЫКАЛИНА,https://www.kp.ru/online/news/6251956/
Эндокринолог Чуракина посоветовала съедать не больше трех блинов в день,Основой для теста могут быть кефир или вода,"Чтобы приготовить блинчики не только вкусными, но и полезными, следует выбирать правильную основу для теста и начинки. Об этом сообщает издание « » со ссылкой на врача-эндокринолога  . - Чтобы получилось более полезное тесто, замените классическую белую муку на цельнозерновую — она богата клетчаткой и полезными питательными веществами. Основой для теста могут быть кефир или вода, - советует медик. Врач уточнила, что не стоит добавлять в тесто сахар, а для начинки подойдут ягоды или творог с изюмом. - В сутки рекомендуется съедать не более 2–3 блинов среднего размера, - подчеркнула доктор. Традиционные масленичные блины – крайне жирный и калорийный продукт. Чрезмерное употребление может привести к набору лишнего веса, проблемам с поджелудочной и желчным пузырем, предупреждает « ». Любопытно, что раньше хозяйки собирали на дворе снег и добавляли его в тесто для блинов. Они верили, что испеченные на снегу блины приносили большую удачу на целый год вперед, передает  .",26 февраля 2025 22:30,https://s09.stc.yc.kpcdn.net/share/i/12/14349857/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6251954-ttps-54-14-32173D-990-l-85-m-1.t-10-6251954-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-26T22-30-31.jpg,"тесто,блин,начинка,основа,врач,тест,москва,риамо,эндокринолог,чуракина",Валентина БРЫКАЛИНА,https://www.kp.ru/online/news/6251954/
техосмотр для автовладельцев является добровольным,"Россиянам напомнили о добровольности техосмотра автомобилей, которые используются только в личных целях","Автовладельцы в России могут проводить техосмотр своих автомобилей в добровольном порядке в том случае, если транспортное средство не используется для предоставления услуг такси. Об этом напомнил руководитель центра правопорядка в Москве и Московской области  , указав на еще одно обстоятельство, которое может потребовать наличие карты прохождения техосмотра. «Наличие действующей диагностической карты о пройденном техосмотре потребуется лишь в случае постановки на учет транспортного средства, с года изготовления которого прошло более четырех лет, или в случае совершения регистрационных действий, связанных со сменой владельца такого транспортного средства», - сказал юрист в интервью РИА Новости. Напомним, если владелец нового автомобиля не будет своевременно проходить техобслуживание, ему может быть отказано в гарантийном ремонте. Если, конечно, дилер докажет, что неисправность произошла из-за несвоевременно не проведенного технического обслуживания. Подробнее о техосмотре в 2025 году читайте   на KP.RU.",27 февраля 2025 4:38,https://s13.stc.yc.kpcdn.net/share/i/12/14349997/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6252068-ttps-54-14-32173D-990-l-85-m-1.t-10-6252068-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T04-38-02.jpg,"техосмотр,автомобиль,случай,наличие,москва,карта,средство,россия,владелец,год",Мария ПАВЛОВА,https://www.kp.ru/online/news/6252068/
SpaceX запустили модуль Nova-C к Луне,Модуль Nova-C компании SpaceX сядет на Луне через 10 дней,"Компания   SpaceX запустила из Флориды ракету Falcon 9 с модулем Nova-C от компании Intuitive Machines. Кадры с запуском и посадкой ускорителя на морскую платформу стали доступны в Сети. Отмечается, что примерно через 10 дней модуль доложен будет прилуниться в районе горы Мутон. Как предполагают ученые, это самая высокая возвышенность на спутнике Земли. Сегодняшняя миссия Intuitive Machines к Луне уже вторая по счету. Точно такой же аппарат на Falcon-9 запускали в прошлом году. Ранее SpaceX сообщала о планах   Земли около 100 старых спутников Starlink. Речь шла об аппаратах ранних версий с конструктивными недостатками, поскольку есть риск, что они могут привести к невозможности маневрирования спутников. Позже в компании Маска  . SpaceX впервые удалось посадить самую большую в мире ракету Super Heavy на стартовом комплексе. Космический корабль предназначен для пилотируемых миссий на Луну и Марс.",27 февраля 2025 4:19,https://s10.stc.yc.kpcdn.net/share/i/12/14349985/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6252056-ttps-54-14-32173D-990-l-85-m-1.t-10-6252056-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T04-19-04.jpg,"компания,флорида,ракета,модуль,маска,земля,спутник,луна,миссия,аппарат",Анастасия СУТОРМИНА,https://www.kp.ru/online/news/6252056/
скриншоты переписки помогут доказать нарушения прав заказчика в суде,Также заказчику важно сохранять все чеки об оплате,"Россияне могут отстаивать свои права в суде, если остались недовольны оказанием услуги. При этом, заказчикам важно сохранять все чеки об оплате, доказательствам также могут служить скриншоты переписки с поставщиком, об этом рассказала « » адвокат  - При небольшой стоимости стороны часто не заключают письменный договор. В этих случаях исполнителя находят и договариваются с ним через соцсети. Скриншоты переписки и чека на сумму онлайн-перевода служат доказательством в суде, если до него дойдет дело. Заверить переписку можно у нотариуса, - сообщила правозащитница. Специалист добавила, что если услуга не выполнена в сроки, то можно потребовать уменьшить цену или вернуть предоплату. Также после разбирательства в суде можно надеяться на уплату неустойки со стороны поставщика. Ранее   призвал россиян не верить в распродажи, так как многие продавцы незадолго до периода распродаж завышают цены, а потом сбрасывают их до первоначальных значений. Продавцы и маркетологи пользуются тем, что многие люди в периоды распродаж очень уязвимы и, увидев привлекательные скидки, они совершают необдуманные импульсивные покупки, причем порой по завышенной цене.",26 февраля 2025 22:29,https://s09.stc.yc.kpcdn.net/share/i/12/14349855/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6251952-ttps-54-14-32173D-990-l-85-m-1.t-10-6251952-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-26T22-29-42.jpg,"суд,цена,скриншот,россиянин,услуга,переписка,поставщик,чек,исаенко,доказательство",Валентина БРЫКАЛИНА,https://www.kp.ru/online/news/6251952/
Трамп подтвердил приезд Зеленского в Вашингтон 28 февраля на сделку по ресурсам,Встреча Трампа и Зеленского по вопросу подписания соглашения о ресурсах состоится 28 февраля,"Действующий президент Соединенных Штатов Америки (США)   подтвердил, что глава киевского режима   прибудет в Вашингтон в пятницу, 28 февраля, для подписания соглашения по природным ресурсам. «Президент Зеленский приедет в пятницу. Это уже подтверждено. И мы собираемся подписать соглашение, которое будет очень большим соглашением», - подчеркнул Трамп на первом заседании кабинета.  украинское СМИ опубликовало план данного проекта по недрам и редкоземельным металлам. Он предполагает рамочные договоренности о детализации сделки в ближайшем будущем. Известно, что Украина должна создать некий «инвестиционный фонд восстановления», в который будут поступать половина от всех доходов от природно-ресурсных активов страны. К более подробным договоренностям планируется прийти во время переговоров. , анонсирован текст договора, который планируют подписать Зеленский и Трамп в конце февраля. Однако главарь киевского режима уже сейчас преподносит будущий документ как несомненное завоевание, ведь никаких сумм, которые Украина должна США, в проекте не прописано.",26 февраля 2025 16:55,https://s12.stc.yc.kpcdn.net/share/i/12/14349730/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6251853-ttps-54-14-32173D-990-l-85-m-1.t-10-6251853-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-26T20-08-50.jpg,"трамп,сша,украина,америка,соглашение,пятница,президент,вашингтон,режим,февраль",Елизавета БУБНОВА,https://www.kp.ru/online/news/6251853/
Пит Джейсон признался в расизме в его семье,Певец Пит Джейсон признался в конфликтах между его русской и африканской родней,"Бывший солист золотого состава группы «Премьер-министр» Пит Джейсон рассказал о непростых отношениях в его семье. Напомним, отец Джейсона — чернокожий африканец, а мать — русская женщина, познакомились в РУДН, об этом сообщает « ». - Какое-то время родные не разговаривали с мамой. Они были советскими людьми, родились еще при революции. Для них это было все очень сложно. Но и семья отца не приняла бы маму, по ее словам, детей можно было забрать, а белую жену — нет, - рассказал музыкант. По словам Джейсона, он стал сыном от второго брака его матери. Первый муж также был африканцем, от которого появился старший брат Пита — Юджин. Ранее   рассказал, что Марат Чанышев с Питером Джейсоном основали проект и выступают как «Группа ПМ». При этом, артисты поют все песни из репертуара «Прьемьер-министр» без ограничений. Новых композиций в составе «Группы ПМ» не выпускалось, так как, по признанию музыкантов, люди приходят на их концерты, чтобы услышать хиты прошлых лет.",26 февраля 2025 22:31,https://s16.stc.yc.kpcdn.net/share/i/12/14349856/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6251953-ttps-54-14-32173D-990-l-85-m-1.t-10-6251953-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-26T22-31-37.jpg,"джейсон,пит,мать,отец,африканец,группа,семья,министр,состав,слово",Валентина БРЫКАЛИНА,https://www.kp.ru/online/news/6251953/
В Госдепе раскрыли подробности будущих переговоров США и России в Стамбуле,Госдеп США: предстоящие переговоры РФ и США не будут касаться политики,"Предстоящие переговоры между Россией и США, которые пройдут в Турции 27 февраля 2025 года, не будут касаться политики или безопасности. Об этом сообщили в Госдепе США. В ведомстве отметили, что на повестке дня нет вопросов по урегулированию конфликта на Украине. Также не будет подниматься тема безопасности в мире. «На повестке дня нет политических или вопросов безопасности, Украина также не является темой обсуждения», — заявили представили Госдепа США в интервью каналу CNN. В Турции сегодня, 26 февраля 2025 года, подтвердили дату следующих переговоров между делегациями России и США. Об этом    . Дипломат заявил, что Турция готова оказать возможную помощь в качестве страны-посредника в переговорах двух делегаций. Там не стали раскрывать подробностей. А вот глава МИД РФ  , который ответил на вопрос журналистов по поводу предстоящих переговоров, подчеркнул, что они будут проходить на уровне международных ведомств. Ранее K  сообщил, что делегации из РФ и США встретились в Саудовской Аравии, в городе Эр-Рияде. Переговорщикам удалось коснуться многих вопросов, включая конфликт на Украине.",26 февраля 2025 17:05,https://s13.stc.yc.kpcdn.net/share/i/12/14349738/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6251861-ttps-54-14-32173D-990-l-85-m-1.t-10-6251861-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-26T20-05-59.jpg,"сша,украина,россия,турция,госдеп,вопрос,рф,безопасность,переговоры,год",Людмила МИТРОХИНА,https://www.kp.ru/online/news/6251861/
